Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Other duration (ms)
2022-11-15,,1391.4029736975515,26.578463833681482,,,,,,,,,,0.3890058320491729,0.49526206493172564,0.2827495991666201,119,,,,,,62258,,,
2022-11-16,8,1397.925197251213,248.47848563904864,,,,,,,,,,0.28588164312235487,1.1609723028020071,0.28274959559210694,587,,,,,,191045,,,
2022-11-17,,1388.2500166893003,52.26661613524743,,,,,,,,,,0.2779754571283954,0.28274960560074414,0.26389964090180196,172,,,,,,,,,
2022-11-18,4,1393.6923087477935,139.3727247316132,,,,,,,,,,0.27324787162005737,1.1671157179231342,0.2566993876399229,256,,,,,,107463,,,
2022-11-19,8,1404.1626974666585,273.2955046126479,1.0,1,,,,,,,,0.47665708849817834,1.216764136761345,0.2759654596992419,536,,,,,,314210,,,
2022-11-20,3,1394.400961891429,110.83784917875681,,,,,,,,,,0.28274959808219263,0.2827496076325728,0.2827495969802674,248,,,,,,121456,,,
2022-11-21,43,1480.7689628457547,2013.5030416469938,11.0,11,,,,,,,,0.6989153973054572,1.6370697676368227,0.2827495897046736,3416,,,,,,1826870,,,
2022-11-22,2,1393.9536287092856,103.30960366178053,,,,,,,,,,0.316400942694181,1.1195640729360663,0.2827495911239656,260,,,,,,112623,,,
2022-11-23,1,1391.3572427042905,33.92995383023168,,,,,,,,,,0.5080107174509174,0.7332718237861271,0.2827496111157078,100,,,,,,61355,,,
2022-11-24,22,1437.0137411478145,1048.0574506119224,5.0,5,,,,,,,,0.5931587168112735,1.856561578541801,0.2544746537267376,1812,,,,,,686638,121022,,
2022-11-25,,1388.2500166893005,13.006482301588811,,,,,,,,,,0.7714402435362085,0.7714402435362085,0.7714402435362085,141,,,,,,,,,
2022-11-26,62,1512.0916151324739,2667.5833355092986,15.0,15,,,,,,,,0.6337051083436145,1.4225492626330083,0.24880545240462418,4579,,,,,,2445367,,,
2022-11-27,82,1617.7926387481227,2537.5537761371093,43.0,43,,,,,,,,0.8658419043638512,1.4476456218607463,0.2817251601242063,4238,,,,1674585,,2741844,,,
2022-11-28,3,1394.3298079096662,84.82488457557919,,,,,,,,,,0.282749612554394,0.2827496139930802,0.2827496111157078,199,,,,,,120051,,,
2022-11-29,,1388.2500166893005,,,,,,,,,,,,,,36,,,,,,,,,
2022-11-30,33,1477.2961608942444,1849.6876187318228,17.0,17,,,,,,,,0.4712744961466834,1.3445064802478346,0.2827496020912219,3051,,,,,,1758297,,,
2022-12-01,13,1418.559205342658,797.8124829420958,7.0,7,,,,,,,,0.7503698385911379,1.3327287340426022,0.2471587545908485,1356,,,,,,598482,,,
2022-12-02,6,1400.5340806059926,172.4772653036777,,,,,,,,,,0.5209011750326725,0.7371634263394579,0.28274960560074414,372,,,,,,242560,,,
2022-12-03,70,1570.795297642852,3602.322006639174,27.0,27,,,,,,,,0.7176621712236209,1.427261144668033,0.2798181750523179,5949,,,,,,3604522,,,
2022-12-04,4,1398.7099778020136,122.14783378883403,,,,,,,,,,0.2835320596309544,0.6668622911051577,0.28274960411594624,288,,,,,,206542,,,
2022-12-05,,1388.2500166893008,,,,,,,,,,,,,,10,,,,,,,,,
2022-12-06,44,1521.7890109809614,2197.947947910695,18.0,17,,,,,,,,0.7408222556284422,1.9892266647541093,0.2827496020912219,3794,63.502933502197266,63.502933502197266,63.502933502197266,,,2562724,,,
2022-12-07,,1391.2793440818784,,,,,,,,,,,,,,10,,,,,,,,,
2022-12-08,28,1461.2345255316543,1350.6149849301733,9.0,8,,,,,,,,0.5389323747742185,1.5970993994463865,0.2681462583680823,2323,,,,,,1373607,,,
2022-12-09,1,1391.2793440818787,20.923471528642867,,,,,,,,,,0.28274958786343,0.28274958786343,0.28274958786343,121,,,,,,,,,
2022-12-10,57,1556.0934841058247,2354.547243320819,9.0,9,,,,,,,,0.39266709322762156,1.5560067930829162,0.27092733168738997,4270,,,,,,3236211,,,
2022-12-11,8,1411.7493231489095,618.9002986813304,6.0,6,,,,,,,,0.27730223001503174,1.4411084492862494,0.25930815492942644,990,,,,,,401939,,,
2022-12-12,51,1563.285066428199,2603.702491934429,20.0,20,,,,,,,,0.7169492069355048,1.5171092660479768,0.2827495931687082,4292,,,,,,3377423,,,
2022-12-13,20,1445.8218139773653,1139.04277612693,13.0,13,,,,,,,,1.0122346135026996,1.2775002701215499,0.2827496020912219,1902,,,,,,1070969,,,
2022-12-14,,1391.2793440818787,,,,,,,,,,,,,,32,,,,,,,,,
2022-12-15,38,1498.2569083805563,1935.197307288302,13.0,13,,,,,,,,0.6813606928014501,1.375018430091882,0.28048309164314256,3142,,,,,,2100561,,,
2022-12-16,,1391.2793440818787,15.833978454108117,,,,,,,,,,0.26389964090180196,0.26389964090180196,0.26389964090180196,78,,,,,,,,,
2022-12-17,2,1393.6836089467392,44.108939979301184,,,,,,,,,,0.3364152979944686,0.39008097751994425,0.282749618468993,108,,,,,,47209,,,
